Temperature,Pressure,Humidity,Wind Direction,Wind Speed,Weather Description
63.1976,1007,100,2,2,sky is clear
63.1976,1007,100,2,2,sky is clear
63.1976,1007,100,2,2,sky is clear
68.0576,1010,76,295,3,sky is clear
68.0576,1010,76,295,3,sky is clear
68.0576,1010,76,295,3,sky is clear
62.0978,1010,88,310,2,sky is clear
62.0978,1010,88,310,2,sky is clear
62.0978,1010,88,310,2,sky is clear
65.6978,1011,79,244,1,sky is clear
65.6978,1011,79,244,1,sky is clear
65.6978,1011,79,244,1,sky is clear
73.3262,1011,64,225,1,sky is clear
73.3262,1011,64,225,1,sky is clear
73.3262,1011,64,225,1,sky is clear
78.431,1011,56,190,2,sky is clear
78.431,1011,56,190,2,sky is clear
78.431,1011,56,190,2,sky is clear
72.995,1009,74,340,4,sky is clear
72.995,1009,74,340,4,sky is clear
72.995,1009,74,340,4,sky is clear
76.7156,1009,67,356,4,sky is clear
76.7156,1009,67,356,4,sky is clear
76.7156,1009,67,356,4,sky is clear
77.8712,1009,62,6,3,sky is clear
77.8712,1009,62,6,3,sky is clear
77.8712,1009,62,6,3,sky is clear
80.3264,1013,58,191,1,sky is clear
80.3264,1013,58,191,1,sky is clear
82.526,1011,55,190,1,sky is clear
82.526,1011,55,190,1,sky is clear
82.526,1011,55,190,1,sky is clear
81.7898,1010,55,174,2,sky is clear
81.7898,1010,55,174,2,sky is clear
81.7898,1010,55,174,2,sky is clear
75.1244,1010,67,164,4,sky is clear
75.1244,1010,67,164,4,sky is clear
75.1244,1010,67,164,4,sky is clear
71.7332,1010,77,170,3,sky is clear
71.7332,1010,77,170,3,sky is clear
70.394,1021,88,170,3,sky is clear
70.142,1021,83,180,3,sky is clear
69.854,1020,83,180,2,sky is clear
86.81,1017,58,230,7,thunderstorm
75.848,1015,83,200,8,thunderstorm
75.398,1014,94,220,6,thunderstorm
83.642,1014,58,280,4,sky is clear
81.284,1014,65,270,4,sky is clear
78.53,1014,69,270,3,sky is clear
77.09,1014,78,250,3,sky is clear
76.37,1015,78,280,3,sky is clear
74.588,1015,78,290,3,sky is clear
73.724,1015,83,280,3,sky is clear
72.572,1015,94,290,3,sky is clear
76.37,1015,88,195,3,thunderstorm
79.988,1011,83,230,6,thunderstorm
77.252,1012,88,210,5,thunderstorm
79.52,1015,61,313,3,sky is clear
77.144,1015,65,330,2,sky is clear
67.964,1016,88,30,1,sky is clear
66.038,1016,94,360,1,sky is clear
73.508,1016,77,210,3,sky is clear
71.042,1016,77,200,2,sky is clear
69.242,1015,88,250,2,sky is clear
68.684,1016,88,240,3,sky is clear
67.712,1016,88,230,3,sky is clear
73.328,1014,83,70,2,sky is clear
71.852,1014,88,120,1,sky is clear
71.078,1013,83,0,2,sky is clear
69.782,1013,88,10,2,sky is clear
77.738,1013,65,40,6,thunderstorm
81.356,1015,78,40,5,thunderstorm
78.44,1015,83,0,1,thunderstorm
77.36,1015,57,80,5,sky is clear
69.17,1014,83,40,4,thunderstorm
70.7,1015,73,40,5,thunderstorm
70.016,1015,83,60,5,thunderstorm
70.646,1015,88,60,4,thunderstorm
73.094,1014,78,40,4,thunderstorm
76.928,1016,88,40,3,thunderstorm
75.308,1018,64,100,1,sky is clear
71.6,1020,50,117,2,sky is clear
68.774,1019,73,360,1,sky is clear
66.74,1019,88,50,1,sky is clear
80.546,1020,61,100,2,sky is clear
82.184,1020,61,100,2,sky is clear
87.818,1019,74,98,1,sky is clear
88.736,1016,45,139,2,sky is clear
89.69,1015,44,139,2,sky is clear
90.23,1018,59,139,2,sky is clear
89.978,1018,59,147,2,sky is clear
88.052,1014,45,147,2,sky is clear
86.558,1014,44,147,2,sky is clear
84.974,1015,38,130,2,sky is clear
81.41,1017,61,130,2,sky is clear
77.99,1017,63,130,2,sky is clear
75.542,1017,65,131,3,sky is clear
73.94,1017,67,131,3,sky is clear
72.5,1017,69,131,3,sky is clear
69.296,1015,80,108,1,sky is clear
69.89,1017,67,108,1,sky is clear
68.558,1017,69,108,1,sky is clear
67.91,1017,71,95,1,sky is clear
67.082,1017,75,95,1,sky is clear
66.83,1016,75,95,1,sky is clear
69.17,1014,92,115,1,sky is clear
75.704,1017,80,115,1,sky is clear
80.852,1017,80,115,1,sky is clear
84.326,1017,71,183,3,sky is clear
84.596,1017,73,183,3,sky is clear
88.088,1017,74,145,1,sky is clear
88.448,1016,74,164,3,sky is clear
89.402,1013,53,164,3,sky is clear
88.502,1015,74,164,3,sky is clear
88.934,1015,72,158,3,sky is clear
86.27,1014,67,158,3,sky is clear
85.586,1011,70,151,3,sky is clear
82.238,1011,66,151,3,sky is clear
79.214,1010,75,151,3,sky is clear
77.63,1010,82,160,3,sky is clear
77.036,1010,85,160,3,sky is clear
76.388,1010,90,160,3,sky is clear
76.028,1010,93,177,3,sky is clear
75.038,1010,94,177,3,sky is clear
74.282,1009,95,177,3,sky is clear
74.03,1008,96,186,3,sky is clear
72.86,1011,75,186,3,sky is clear
72.266,1011,76,186,3,sky is clear
73.958,1008,67,342,4,sky is clear
71.852,1009,72,342,4,sky is clear
69.962,1009,77,342,4,sky is clear
67.928,1011,90,343,3,sky is clear
70.394,1011,79,343,3,sky is clear
77.27,1011,67,343,3,sky is clear
80.312,1011,52,342,4,sky is clear
81.716,1011,50,342,4,sky is clear
81.356,1011,46,339,3,sky is clear
65.192,1014,91,15,3,sky is clear
71.06,1014,71,15,3,sky is clear
75.002,1015,57,15,3,sky is clear
79.394,1015,51,15,2,sky is clear
80.942,1015,44,15,2,sky is clear
82.22,1015,42,14,2,sky is clear
82.868,1015,40,3,1,sky is clear
84.632,1015,39,3,1,sky is clear
84.974,1015,38,3,1,sky is clear
64.472,1018,60,54,2,sky is clear
63.05,1016,85,54,2,sky is clear
62.096,1016,89,54,2,sky is clear
60.854,1018,64,43,1,sky is clear
60.404,1016,93,43,1,sky is clear
59.9,1017,93,43,1,sky is clear
61.43,1017,94,44,2,sky is clear
67.73,1018,74,44,2,sky is clear
73.4,1018,66,65,2,sky is clear
77.36,1018,57,65,2,sky is clear
78.98,1018,47,65,2,sky is clear
81.788,1017,42,72,3,sky is clear
82.94,1017,36,90,2,sky is clear
84.056,1016,32,90,2,sky is clear
84.992,1016,28,90,2,sky is clear
85.73,1016,25,103,2,sky is clear
85.064,1015,37,103,2,sky is clear
83.876,1018,48,103,2,sky is clear
80.24,1015,42,110,2,sky is clear
77.936,1017,53,110,2,sky is clear
73.994,1018,61,110,2,sky is clear
70.646,1018,67,118,2,sky is clear
68.45,1016,68,118,2,sky is clear
67.028,1016,77,118,2,sky is clear
67.01,1018,69,93,3,sky is clear
66.218,1018,68,93,3,sky is clear
66.164,1018,69,93,3,sky is clear
65.39,1015,90,93,3,sky is clear
65.372,1018,71,93,3,sky is clear
66.704,1018,71,93,3,sky is clear
71.762,1008,96,133,2,sky is clear
71.762,1008,96,133,2,sky is clear
71.762,1008,96,133,2,sky is clear
82.4018,1008,65,157,3,sky is clear
82.4018,1008,65,157,3,sky is clear
78.8,1015,88,220,6,thunderstorm
77.396,1015,88,220,5,thunderstorm
81.842,1020,45,170,3,thunderstorm
84.92,1023,55,260,3,thunderstorm
84.56,1022,55,260,2,thunderstorm
85.118,1016,74,200,4,thunderstorm
83.894,1016,74,200,4,thunderstorm
70.286,1012,88,120,3,thunderstorm
69.602,1011,88,70,4,thunderstorm
68.792,1010,94,60,3,thunderstorm
78.098,1014,54,190,4,thunderstorm
63.698,1021,93,80,1,thunderstorm
64.04,1021,93,10,3,thunderstorm
63.122,1011,55,220,7,thunderstorm
18.5,1012,72,280,7,snow
18.14,1012,67,270,3,snow
17.96,1013,72,280,4,snow
18.014,1013,67,270,5,snow
18.194,1014,67,260,6,snow
17.6,1014,67,260,3,snow
17.42,1014,61,270,2,snow
18.014,1013,61,250,3,snow
17.798,1014,61,260,6,snow
17.384,1014,72,260,3,snow
16.592,1014,72,240,3,snow
17.186,1014,52,250,6,snow
16.502,1013,52,260,6,snow
16.502,1013,44,270,6,snow
16.808,1013,56,270,6,snow
15.26,1013,61,280,5,snow
11.102,1017,66,300,3,snow
10.004,1017,85,240,2,snow
9.374,1017,92,20,1,snow
9.572,1018,60,270,3,snow
8.762,1018,84,290,2,snow
6.764,1020,60,230,2,snow
13.28,1021,51,260,4,snow
13.586,1022,51,260,4,snow
11.984,1025,61,230,2,snow
5.702,1028,71,250,1,snow
4.982,1028,71,250,2,snow
5.882,1029,71,230,2,snow
6.944,1029,71,230,2,snow
12.38,1029,61,240,5,snow
13.586,1028,56,260,5,snow
14.018,1028,56,250,4,snow
14.9,1028,56,280,5,snow
14.522,1029,66,280,3,snow
13.82,1028,78,270,6,snow
12.182,1029,56,280,4,snow
16.988,1036,48,330,4,snow
17.186,1036,48,290,3,snow
17.06,1036,48,280,3,snow
16.88,1037,48,260,5,snow
15.404,1037,47,250,3,snow
15.386,1037,52,240,3,snow
15.8,1038,52,220,3,snow
15.62,1036,56,170,2,snow
16.142,1035,57,170,3,snow
16.502,1034,67,200,7,snow
17.222,1031,61,200,4,snow
17.222,1029,57,180,4,snow
36.878,1003,93,180,7,snow
42.8,997,87,190,7,snow
45.68,997,87,210,11,snow
42.602,1008,93,160,3,thunderstorm
46.202,1007,93,190,8,thunderstorm
49.406,1004,93,160,4,thunderstorm
32,1013,100,20,2,snow
30.596,1028,80,153,1,snow
31.838,1026,86,153,1,snow
32.198,1021,94,70,4,snow
33.98,1012,94,70,2,thunderstorm
34.34,1009,100,70,2,snow
34.412,1006,100,90,4,snow
38.282,1004,83,280,7,snow
37.94,1005,83,280,6,snow
35.996,1007,81,260,4,snow
34.7,1008,86,280,5,snow
34.358,1008,80,270,3,snow
33.8,1009,74,260,3,snow
33.782,1009,74,250,5,snow
33.584,1009,69,260,2,snow
33.35,1009,69,250,4,snow
32.18,1008,81,240,2,snow
30.992,1009,81,250,3,snow
31.64,1009,86,260,4,snow
31.64,1008,83,260,4,snow
31.64,1008,83,260,2,snow
31.28,1007,83,270,5,snow
31.46,1006,79,260,8,snow
31.586,1006,79,250,6,snow
30.362,1007,79,250,3,snow
30.002,1007,80,260,6,snow
29.48,1007,63,250,6,snow
29.3,1008,63,270,5,snow
27.68,1007,68,260,3,snow
27.68,1007,74,240,4,snow
27.68,1007,74,240,4,snow
27.68,1006,74,220,3,snow
27.32,1006,74,230,5,snow
27.32,1006,74,230,4,snow
27.14,1005,74,220,3,snow
29.642,1003,80,250,6,snow
29.48,1003,92,240,5,snow
29.408,1005,86,300,3,snow
28.94,1006,74,260,4,snow
27.608,1006,92,300,5,snow
25.52,1006,79,308,2,snow
25.988,1007,73,280,2,snow
26.402,1008,79,301,1,snow
27.59,1008,68,280,2,snow
